weight,id,name,cfa_url,vetstreet_url,vcahospitals_url,temperament,origin,country_codes,country_code,description,life_span,indoor,lap,alt_names,adaptability,affection_level,child_friendly,dog_friendly,energy_level,grooming,health_issues,intelligence,shedding_level,social_needs,stranger_friendly,vocalisation,experimental,hairless,natural,rare,rex,suppressed_tail,short_legs,wikipedia_url,hypoallergenic,cat_friendly,bidability
"{'imperial': '6 - 12', 'metric': '3 - 7'}",beng,Bengal,http://cfa.org/Breeds/BreedsAB/Bengal.aspx,http://www.vetstreet.com/cats/bengal,https://vcahospitals.com/know-your-pet/cat-breeds/bengal,"Alert, Agile, Energetic, Demanding, Intelligent",United States,US,US,"Bengals are a lot of fun to live with, but they're definitely not the cat for everyone, or for first-time cat owners. Extremely intelligent, curious and active, they demand a lot of interaction and woe betide the owner who doesn't provide it.",12 - 15,0,0.0,,5,5,4,5,5,1,3,5,3,5,3,5,0,0,0,0,0,0,0,https://en.wikipedia.org/wiki/Bengal_(cat),1,4.0,3.0
"{'imperial': '6 - 15', 'metric': '3 - 7'}",birm,Birman,http://cfa.org/Breeds/BreedsAB/Birman.aspx,http://www.vetstreet.com/cats/birman,https://vcahospitals.com/know-your-pet/cat-breeds/birman,"Affectionate, Active, Gentle, Social",France,FR,FR,"The Birman is a docile, quiet cat who loves people and will follow them from room to room. Expect the Birman to want to be involved in what you’re doing. He communicates in a soft voice, mainly to remind you that perhaps it’s time for dinner or maybe for a nice cuddle on the sofa. He enjoys being held and will relax in your arms like a furry baby.",14 - 15,0,1.0,"Sacred Birman, Sacred Cat Of Burma",5,5,4,5,3,2,1,3,3,4,3,1,0,0,0,0,0,0,0,https://en.wikipedia.org/wiki/Birman,0,,
"{'imperial': '6 - 11', 'metric': '3 - 5'}",bomb,Bombay,http://cfa.org/Breeds/BreedsAB/Bombay.aspx,http://www.vetstreet.com/cats/bombay,https://vcahospitals.com/know-your-pet/cat-breeds/bombay,"Affectionate, Dependent, Gentle, Intelligent, Playful",United States,US,US,"The the golden eyes and the shiny black coa of the Bopmbay is absolutely striking. Likely to bond most with one family member, the Bombay will follow you from room to room and will almost always have something to say about what you are doing, loving attention and to be carried around, often on his caregiver's shoulder.",12 - 16,0,1.0,Small black Panther,5,5,4,5,3,1,3,5,3,4,4,5,0,0,0,0,0,0,0,https://en.wikipedia.org/wiki/Bombay_(cat),0,,
"{'imperial': '8 - 18', 'metric': '4 - 8'}",bslo,British Longhair,,,,"Affectionate, Easy Going, Independent, Intelligent, Loyal, Social",United Kingdom,GB,GB,"The British Longhair is a very laid-back relaxed cat, often perceived to be very independent although they will enjoy the company of an equally relaxed and likeminded cat. They are an affectionate breed, but very much on their own terms and tend to prefer to choose to come and sit with their owners rather than being picked up.",12 - 14,0,,,5,5,4,5,4,5,1,5,1,3,4,1,0,0,0,0,0,0,0,https://en.wikipedia.org/wiki/British_Longhair,0,,
"{'imperial': '12 - 20', 'metric': '5 - 9'}",bsho,British Shorthair,http://cfa.org/Breeds/BreedsAB/BritishShorthair.aspx,http://www.vetstreet.com/cats/british-shorthair,https://vcahospitals.com/know-your-pet/cat-breeds/british-shorthair,"Affectionate, Easy Going, Gentle, Loyal, Patient, calm",United Kingdom,GB,GB,"The British Shorthair is a very pleasant cat to have as a companion, ans is easy going and placid. The British is a fiercely loyal, loving cat and will attach herself to every one of her family members. While loving to play, she doesn't need hourly attention. If she is in the mood to play, she will find someone and bring a toy to that person. The British also plays well by herself, and thus is a good companion for single people.",12 - 17,0,1.0,"Highlander, Highland Straight, Britannica",5,4,4,5,2,2,2,3,4,3,2,1,0,0,1,0,0,0,0,https://en.wikipedia.org/wiki/British_Shorthair,0,,
"{'imperial': '6 - 12', 'metric': '3 - 5'}",bure,Burmese,http://cfa.org/Breeds/BreedsAB/Burmese.aspx,http://www.vetstreet.com/cats/burmese,https://vcahospitals.com/know-your-pet/cat-breeds/burmese,"Curious, Intelligent, Gentle, Social, Interactive, Playful, Lively",Burma,MM,MM,"Burmese love being with people, playing with them, and keeping them entertained. They crave close physical contact and abhor an empty lap. They will follow their humans from room to room, and sleep in bed with them, preferably under the covers, cuddled as close as possible. At play, they will turn around to see if their human is watching and being entertained by their crazy antics.",15 - 16,0,1.0,,5,5,4,5,4,1,3,5,3,5,5,5,0,0,0,0,0,0,0,https://en.wikipedia.org/wiki/Burmese_(cat),1,,
"{'imperial': '6 - 13', 'metric': '3 - 6'}",buri,Burmilla,http://cfa.org/Breeds/BreedsAB/Burmilla.aspx,http://www.vetstreet.com/cats/burmilla,,"Easy Going, Friendly, Intelligent, Lively, Playful, Social",United Kingdom,GB,GB,"The Burmilla is a fairly placid cat. She tends to be an easy cat to get along with, requiring minimal care. The Burmilla is affectionate and sweet and makes a good companion, the Burmilla is an ideal companion to while away a lonely evening. Loyal, devoted, and affectionate, this cat will stay by its owner, always keeping them company.",10 - 15,0,1.0,,5,5,4,4,3,3,3,3,3,4,3,5,0,0,0,0,0,0,0,https://en.wikipedia.org/wiki/Burmilla,0,,
"{'imperial': '10 - 15', 'metric': '5 - 7'}",cspa,California Spangled,,,,"Affectionate, Curious, Intelligent, Loyal, Social",United States,US,US,"Perhaps the only thing about the California spangled cat that isn’t wild-like is its personality. Known to be affectionate, gentle and sociable, this breed enjoys spending a great deal of time with its owners. They are very playful, often choosing to perch in high locations and show off their acrobatic skills.",10 - 14,0,,Spangle,5,5,4,5,5,1,1,5,1,3,4,1,0,0,0,0,0,0,0,https://en.wikipedia.org/wiki/California_Spangled,0,,
"{'imperial': '7 - 12', 'metric': '3 - 5'}",ctif,Chantilly-Tiffany,,,,"Affectionate, Demanding, Interactive, Loyal",United States,US,US,"The Chantilly is a devoted companion and prefers company to being left alone. While the Chantilly is not demanding, she will ""chirp"" and ""talk"" as if having a conversation. This breed is affectionate, with a sweet temperament. It can stay still for extended periods, happily lounging in the lap of its loved one. This quality makes the Tiffany an ideal traveling companion, and an ideal house companion for senior citizens and the physically handicapped.",14 - 16,0,1.0,"Chantilly, Foreign Longhair",5,5,4,5,4,5,1,5,5,3,4,5,0,0,0,0,0,0,0,https://en.wikipedia.org/wiki/Chantilly-Tiffany,0,,
"{'imperial': '6 - 15', 'metric': '3 - 7'}",char,Chartreux,http://cfa.org/Breeds/BreedsCJ/Chartreux.aspx,http://www.vetstreet.com/cats/chartreux,https://vcahospitals.com/know-your-pet/cat-breeds/chartreux,"Affectionate, Loyal, Intelligent, Social, Lively, Playful",France,FR,FR,"The Chartreux is generally silent but communicative. Short play sessions, mixed with naps and meals are their perfect day. Whilst appreciating any attention you give them, they are not demanding, content instead to follow you around devotedly, sleep on your bed and snuggle with you if you’re not feeling well.",12 - 15,0,1.0,,5,5,4,5,2,1,2,4,3,5,5,1,0,0,0,0,1,0,0,https://en.wikipedia.org/wiki/Chartreux,1,,
"{'imperial': '7 - 15', 'metric': '3 - 7'}",chau,Chausie,,,,"Affectionate, Intelligent, Playful, Social",Egypt,EG,EG,"For those owners who desire a feline capable of evoking the great outdoors, the strikingly beautiful Chausie retains a bit of the wild in its appearance but has the house manners of our friendly, familiar moggies. Very playful, this cat needs a large amount of space to be able to fully embrace its hunting instincts.",12 - 14,0,,Nile Cat,5,5,4,5,4,3,1,5,3,3,4,1,1,0,0,0,0,0,0,https://en.wikipedia.org/wiki/Chausie,0,,
"{'imperial': '8 - 15', 'metric': '4 - 7'}",chee,Cheetoh,,,,"Affectionate, Gentle, Intelligent, Social",United States,US,US,"The Cheetoh has a super affectionate nature and real love for their human companions; they are intelligent with the ability to learn quickly. You can expect that a Cheetoh will be a fun-loving kitty who enjoys playing, running, and jumping through every room in your house.",12 - 14,0,, ,5,5,4,5,4,1,1,5,1,3,4,5,0,0,0,0,0,0,0,https://en.wikipedia.org/wiki/Bengal_cat#Cheetoh,0,,
"{'imperial': '4 - 10', 'metric': '2 - 5'}",csho,Colorpoint Shorthair,http://cfa.org/Breeds/BreedsCJ/ColorpointShorthair.aspx,,https://vcahospitals.com/know-your-pet/cat-breeds/colorpoint-shorthair,"Affectionate, Intelligent, Playful, Social",United States,US,US,"Colorpoint Shorthairs are an affectionate breed, devoted and loyal to their people. Sensitive to their owner’s moods, Colorpoints are more than happy to sit at your side or on your lap and purr words of encouragement on a bad day. They will constantly seek out your lap whenever it is open and in the moments when your lap is preoccupied they will stretch out in sunny spots on the ground.",12 - 16,0,1.0,,3,4,4,4,4,2,2,5,3,4,2,5,0,0,0,0,0,0,0,https://en.wikipedia.org/wiki/Colorpoint_Shorthair,0,3.0,4.0
"{'imperial': '5 - 9', 'metric': '2 - 4'}",crex,Cornish Rex,http://cfa.org/Breeds/BreedsCJ/CornishRex.aspx,http://www.vetstreet.com/cats/cornish-rex,https://vcahospitals.com/know-your-pet/cat-breeds/cornish-rex,"Affectionate, Intelligent, Active, Curious, Playful",United Kingdom,GB,GB,"This is a confident cat who loves people and will follow them around, waiting for any opportunity to sit in a lap or give a kiss. He enjoys being handled, making it easy to take him to the veterinarian or train him for therapy work. The Cornish Rex stay in kitten mode most of their lives and well into their senior years. ",11 - 14,0,1.0,,5,5,4,5,5,1,2,5,1,5,3,1,0,0,0,0,1,0,0,https://en.wikipedia.org/wiki/Cornish_Rex,1,2.0,
"{'imperial': '8 - 13', 'metric': '4 - 6'}",cymr,Cymric,,http://www.vetstreet.com/cats/cymric,,"Gentle, Loyal, Intelligent, Playful",Canada,CA,CA,"The Cymric is a placid, sweet cat. They do not get too upset about anything that happens in their world. They are loving companions and adore people. They are smart and dexterous, capable of using his paws to get into cabinets or to open doors.",8 - 14,0,1.0,Spangle,5,5,4,5,5,3,3,5,5,5,3,3,0,0,0,0,0,1,0,https://en.wikipedia.org/wiki/Cymric_(cat),0,,
"{'imperial': '8 - 16', 'metric': '4 - 7'}",cypr,Cyprus,,,,"Affectionate, Social",Cyprus,CY,CY,"Loving, loyal, social and inquisitive, the Cyprus cat forms strong ties with their families and love nothing more than to be involved in everything that goes on in their surroundings. They are not overly active by nature which makes them the perfect companion for people who would like to share their homes with a laid-back relaxed feline companion. ",12 - 15,0,1.0,Cypriot cat,5,5,4,5,4,3,1,3,3,3,4,3,0,0,1,0,0,0,0,https://en.wikipedia.org/wiki/Cyprus_cat,0,,
"{'imperial': '5 - 10', 'metric': '2 - 5'}",drex,Devon Rex,http://cfa.org/Breeds/BreedsCJ/DevonRex.aspx,http://www.vetstreet.com/cats/devon-rex,https://vcahospitals.com/know-your-pet/cat-breeds/devon-rex,"Highly interactive, Mischievous, Loyal, Social, Playful",United Kingdom,GB,GB,"The favourite perch of the Devon Rex is right at head level, on the shoulder of her favorite person. She takes a lively interest in everything that is going on and refuses to be left out of any activity. Count on her to stay as close to you as possible, occasionally communicating his opinions in a quiet voice. She loves people and welcomes the attentions of friends and family alike.",10 - 15,0,1.0,"Pixie cat, Alien cat, Poodle cat",5,5,4,5,5,1,3,5,1,5,5,1,0,0,0,0,1,0,0,https://en.wikipedia.org/wiki/Devon_Rex,1,,
"{'imperial': '10 - 12', 'metric': '5 - 6'}",dons,Donskoy,,,,"Playful, affectionate, loyal, social",Russia,RU,RU,"Donskoy are affectionate, intelligent, and easy-going. They demand lots of attention and interaction. The Donskoy also gets along well with other pets. It is now thought the same gene that causes degrees of hairlessness in the Donskoy also causes alterations in cat personality, making them calmer the less hair they have.",12 - 15,0,,,4,4,3,3,4,2,3,3,1,5,5,2,0,1,0,1,0,0,0,https://en.wikipedia.org/wiki/Donskoy_(cat),0,3.0,
"{'imperial': '9 - 12', 'metric': '4 - 6'}",lihu,Dragon Li,,http://www.vetstreet.com/cats/li-hua,,"Intelligent, Friendly, Gentle, Loving, Loyal",China,CN,CN,"The Dragon Li is loyal, but not particularly affectionate. They are known to be very intelligent, and their natural breed status means that they're very active. She is is gentle with people, and has a reputation as a talented hunter of rats and other vermin.",12 - 15,1,,"Chinese Lia Hua, Lí hua māo (貍花貓), Li Hua",3,3,3,3,3,1,1,3,3,4,3,3,0,0,1,0,0,0,0,https://en.wikipedia.org/wiki/Dragon_Li,0,3.0,
"{'imperial': '6 - 14', 'metric': '3 - 6'}",emau,Egyptian Mau,http://cfa.org/Breeds/BreedsCJ/EgyptianMau.aspx,http://www.vetstreet.com/cats/egyptian-mau,https://vcahospitals.com/know-your-pet/cat-breeds/egyptian-mau,"Agile, Dependent, Gentle, Intelligent, Lively, Loyal, Playful",Egypt,EG,EG,"The Egyptian Mau is gentle and reserved. She loves her people and desires attention and affection from them but is wary of others. Early, continuing socialization is essential with this sensitive and sometimes shy cat, especially if you plan to show or travel with her. Otherwise, she can be easily startled by unexpected noises or events.",18 - 20,0,1.0,Pharaoh Cat,2,5,3,3,5,1,3,4,3,4,2,3,0,0,1,0,0,0,0,https://en.wikipedia.org/wiki/Egyptian_Mau,0,,
"{'imperial': '7 - 14', 'metric': '3 - 6'}",ebur,European Burmese,http://cfa.org/Breeds/BreedsCJ/EuropeanBurmese.aspx,,,"Sweet, Affectionate, Loyal",Burma,MM,MM,"The European Burmese is a very affectionate, intelligent, and loyal cat. They thrive on companionship and will want to be with you, participating in everything you do. While they might pick a favorite family member, chances are that they will interact with everyone in the home, as well as any visitors that come to call. They are inquisitive and playful, even as adults. ",10 - 15,0,1.0,,5,5,4,4,4,1,4,5,3,5,5,4,0,0,0,0,0,0,0,,0,4.0,
"{'imperial': '7 - 14', 'metric': '3 - 6'}",esho,Exotic Shorthair,http://cfa.org/Breeds/BreedsCJ/Exotic.aspx,http://www.vetstreet.com/cats/exotic-shorthair,https://vcahospitals.com/know-your-pet/cat-breeds/exotic-shorthair,"Affectionate, Sweet, Loyal, Quiet, Peaceful",United States,US,US,"The Exotic Shorthair is a gentle friendly cat that has the same personality as the Persian. They love having fun, don’t mind the company of other cats and dogs, also love to curl up for a sleep in a safe place. Exotics love their own people, but around strangers they are cautious at first. Given time, they usually warm up to visitors.",12 - 15,0,1.0,Exotic,5,5,3,3,3,2,3,3,2,4,2,1,0,0,0,0,0,0,0,https://en.wikipedia.org/wiki/Exotic_Shorthair,0,,
"{'imperial': '6 - 10', 'metric': '3 - 5'}",hbro,Havana Brown,http://cfa.org/Breeds/BreedsCJ/HavanaBrown.aspx,http://www.vetstreet.com/cats/havana-brown,https://vcahospitals.com/know-your-pet/cat-breeds/havana-brown,"Affectionate, Curious, Demanding, Friendly, Intelligent, Playful",United Kingdom,GB,GB,"The Havana Brown is human oriented, playful, and curious. She has a strong desire to spend time with her people and involve herself in everything they do. Being naturally inquisitive, the Havana Brown reaches out with a paw to touch and feel when investigating curiosities in its environment. They are truly sensitive by nature and frequently gently touch their human companions as if they are extending a paw of friendship.",10 - 15,0,1.0,"Havana, HB",5,5,4,5,3,1,1,5,3,5,3,1,0,0,0,0,0,0,0,https://en.wikipedia.org/wiki/Havana_Brown,0,,
"{'imperial': '7 - 14', 'metric': '3 - 6'}",hima,Himalayan,,http://www.vetstreet.com/cats/himalayan,https://vcahospitals.com/know-your-pet/cat-breeds/himalayan,"Dependent, Gentle, Intelligent, Quiet, Social",United States,US,US,"Calm and devoted, Himalayans make excellent companions, though they prefer a quieter home. They are playful in a sedate kind of way and enjoy having an assortment of toys. The Himalayan will stretch out next to you, sleep in your bed and even sit on your lap when she is in the mood.",9 - 15,0,1.0,"Himalayan Persian, Colourpoint Persian, Longhaired Colourpoint, Himmy",5,5,2,2,1,5,3,3,4,4,2,1,0,0,0,0,0,0,0,https://en.wikipedia.org/wiki/Himalayan_(cat),0,,
"{'imperial': '5 - 10', 'metric': '2 - 5'}",jbob,Japanese Bobtail,http://cfa.org/Breeds/BreedsCJ/JapaneseBobtail.aspx,http://www.vetstreet.com/cats/japanese-bobtail,https://vcahospitals.com/know-your-pet/cat-breeds/japanese-bobtail,"Active, Agile, Clever, Easy Going, Intelligent, Lively, Loyal, Playful, Social",Japan,JP,JP,"The Japanese Bobtail is an active, sweet, loving and highly intelligent breed. They love to be with people and play seemingly endlessly. They learn their name and respond to it. They bring toys to people and play fetch with a favorite toy for hours. Bobtails are social and are at their best when in the company of people. They take over the house and are not intimidated. If a dog is in the house, Bobtails assume Bobtails are in charge.",14 - 16,0,1.0,Japanese Truncated Cat,5,5,4,5,5,1,1,5,3,5,5,5,0,0,1,0,0,1,0,https://en.wikipedia.org/wiki/Japanese_Bobtail,0,,
"{'imperial': '5 - 10', 'metric': '2 - 5'}",java,Javanese,,http://www.vetstreet.com/cats/javanese,https://vcahospitals.com/know-your-pet/cat-breeds/javanese,"Active, Devoted, Intelligent, Playful",United States,US,US,"Javanese are endlessly interested, intelligent and active. They tend to enjoy jumping to great heights, playing with fishing pole-type or other interactive toys and just generally investigating their surroundings. He will attempt to copy things you do, such as opening doors or drawers.",10 - 12,0,, ,4,5,4,4,5,1,3,5,2,5,3,5,0,0,0,0,0,0,0,https://en.wikipedia.org/wiki/Javanese_cat,1,,
"{'imperial': '8 - 12', 'metric': '4 - 6'}",khao,Khao Manee,http://cfa.org/Breeds/BreedsKthruR/KhaoManee.aspx,,,"Calm, Relaxed, Talkative, Playful, Warm",Thailand,TH,TH,"The Khao Manee is highly intelligent, with an extrovert and inquisitive nature, however they are also very calm and relaxed, making them an idea lap cat.",10 - 12,0,1.0,Diamond Eye cat,4,4,3,3,3,3,1,4,3,3,3,5,0,0,0,0,0,0,0,https://en.wikipedia.org/wiki/Khao_Manee,0,3.0,
"{'imperial': '7 - 11', 'metric': '3 - 5'}",kora,Korat,http://cfa.org/Breeds/BreedsKthruR/Korat.aspx,http://www.vetstreet.com/cats/korat,https://vcahospitals.com/know-your-pet/cat-breeds/korat,"Active, Loyal, highly intelligent, Expressive, Trainable",Thailand,TH,TH,"The Korat is a natural breed, and one of the oldest stable cat breeds. They are highly intelligent and confident cats that can be fearless, although they are startled by loud sounds and sudden movements. Korats form strong bonds with their people and like to cuddle and stay nearby.",10 - 15,0,,,5,5,4,5,3,1,1,5,3,5,2,3,0,0,0,1,0,0,0,https://en.wikipedia.org/wiki/Korat,0,,
"{'imperial': '8 - 15', 'metric': '4 - 7'}",kuri,Kurilian,,http://www.vetstreet.com/cats/kurilian-bobtail,,"Independent, highly intelligent, clever, inquisitive, sociable, playful, trainable",Russia,RU,RU,"The character of the Kurilian Bobtail is independent, highly intelligent, clever, inquisitive, sociable, playful, trainable, absent of aggression and very gentle. They are devoted to their humans and when allowed are either on the lap of or sleeping in bed with their owners.",15 - 20,0,,,5,5,5,5,5,1,1,5,2,5,5,3,0,0,1,0,0,1,0,https://en.wikipedia.org/wiki/Kurilian_Bobtail,0,,
"{'imperial': '6 - 10', 'metric': '3 - 5'}",lape,LaPerm,http://cfa.org/Breeds/BreedsKthruR/LaPerm.aspx,http://www.vetstreet.com/cats/laperm,https://vcahospitals.com/know-your-pet/cat-breeds/laperm,"Affectionate, Friendly, Gentle, Intelligent, Playful, Quiet",Thailand,TH,TH,"LaPerms are gentle and affectionate but also very active. Unlike many active breeds, the LaPerm is also quite content to be a lap cat. The LaPerm will often follow your lead; that is, if they are busy playing and you decide to sit and relax, simply pick up your LaPerm and sit down with it, and it will stay in your lap, devouring the attention you give it.",10 - 15,0,1.0,Si-Sawat,5,5,4,5,4,1,1,5,3,4,4,3,0,0,0,0,1,0,0,https://en.wikipedia.org/wiki/LaPerm,1,,
"{'imperial': '12 - 18', 'metric': '5 - 8'}",mcoo,Maine Coon,http://cfa.org/Breeds/BreedsKthruR/MaineCoon.aspx,http://www.vetstreet.com/cats/maine-coon,https://vcahospitals.com/know-your-pet/cat-breeds/maine-coon,"Adaptable, Intelligent, Loving, Gentle, Independent",United States,US,US,"They are known for their size and luxurious long coat Maine Coons are considered a gentle giant. The good-natured and affable Maine Coon adapts well to many lifestyles and personalities. She likes being with people and has the habit of following them around, but isn’t needy. Most Maine Coons love water and they can be quite good swimmers.",12 - 15,0,1.0,"Coon Cat, Maine Cat, Maine Shag, Snowshoe Cat, American Longhair, The Gentle Giants",5,5,4,5,3,3,3,5,3,3,5,1,0,0,1,0,0,0,0,https://en.wikipedia.org/wiki/Maine_Coon,0,,
"{'imperial': '6 - 13', 'metric': '3 - 6'}",mala,Malayan,,,,"Affectionate, Interactive, Playful, Social",United Kingdom,GB,GB,"Malayans love to explore and even enjoy traveling by way of a cat carrier. They are quite a talkative and rather loud cat with an apparent strong will. These cats will make sure that you give it the attention it seeks and always seem to want to be held and hugged. They will constantly interact with people, even strangers. They love to play and cuddle.",12 - 18,0,,Asian,5,5,4,5,5,1,1,3,1,3,3,5,0,0,0,0,0,0,0,https://en.wikipedia.org/wiki/Asian_cat,0,,
"{'imperial': '7 - 13', 'metric': '3 - 6'}",manx,Manx,http://cfa.org/Breeds/BreedsKthruR/Manx.aspx,http://www.vetstreet.com/cats/manx,https://vcahospitals.com/know-your-pet/cat-breeds/manx,"Easy Going, Intelligent, Loyal, Playful, Social",Isle of Man,IM,IM,"The Manx is a placid, sweet cat that is gentle and playful. She never seems to get too upset about anything. She is a loving companion and adores being with people.",12 - 14,0,1.0,"Manks, Stubbin, Rumpy",5,5,4,5,5,1,3,5,5,5,3,3,0,0,1,0,0,1,0,https://en.wikipedia.org/wiki/Manx_(cat),0,,
"{'imperial': '5 - 9', 'metric': '2 - 4'}",munc,Munchkin,,http://www.vetstreet.com/cats/munchkin,,"Agile, Easy Going, Intelligent, Playful",United States,US,US,The Munchkin is an outgoing cat who enjoys being handled. She has lots of energy and is faster and more agile than she looks. The shortness of their legs does not seem to interfere with their running and leaping abilities.,10 - 15,0,1.0,,5,5,4,5,4,2,3,5,3,5,5,3,0,0,0,0,0,0,1,https://en.wikipedia.org/wiki/Munchkin_(cat),0,,
